script,nominal_waves,period_steps,actual_cycles_after_start,step,schedule_ratio,wsd_ratio,block_lr,gamma_lr
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,189,1.0,0.19,0.000342,0.000342
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,190,1.0,0.191,0.0003438,0.0003438
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,191,1.0,0.192,0.0003456,0.0003456
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,192,1.0,0.193,0.0003474,0.0003474
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,193,1.0,0.194,0.0003492,0.0003492
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,194,1.0,0.195,0.000351,0.000351
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,195,1.0,0.196,0.0003528,0.0003528
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,196,1.0,0.197,0.0003546,0.0003546
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,197,1.0,0.198,0.0003564,0.0003564
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,198,1.0,0.199,0.00035820000000000003,0.00035820000000000003
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,199,1.0,0.2,0.00036,0.00036
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,200,1.0,0.201,0.0003618,0.0003618
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,201,1.0,0.202,0.0003636,0.0003636
train_gpt2_gamma_cosine_wave_lrmatched_B0128_devB064.py,2,10000,1.94,202,1.0,0.203,0.0003654,0.0003654
